"Station.Name","Station.Latitude","Station.Longitude","Recommended.Vs30..m.s."
"Dehka",37.375,50.07,266
"Eshtehard",35.721,50.366,452
"EstalkhPosht",36.462,53.481,435
"Fardis",35.728,50.984,371
"Fasham",35.932,51.528,538
"Fereydoonkenar",36.68,52.52,266
"FereymSahraDam",36.162,53.226,404
"ForoonAbad",35.515,51.62,347
"Garmabdar",35.987,51.634,558
"Garmdarreh",35.752,51.068,347
"Gazanak",35.903,52.218,404
"Ghaleno",35.509,51.516,298
"Golestan",35.523,51.167,298
"HasanKeyf",36.5,51.15,404
"Hashtgerd",35.961,50.681,447
"HassanAbad2",35.367,51.253,298
"JavadAbad",35.215,51.668,298
"Karaj",35.831,50.987,371
"KarjDam1",35.957,51.088,539
"KarjDam2",35.956,51.091,568
"Kia-sar",36.237,53.539,559
"LarDam1",35.888,51.995,404
"LatiyanDam",35.788,51.678,557
"Lavasan",35.824,51.635,564
"Mah-Neshan",36.743,47.673,378
"MahmoodAbad",36.631,52.252,315
"MardAbad",35.726,50.852,315
"MayjaranDam1",36.838,50.692,557
"Moshampa",36.946,47.679,378
"NasimShahr",35.557,51.167,331
"Neka",36.631,53.279,459
"Noor",36.574,52.011,266
"Noshahr",36.654,51.494,351
"NozarAbad",36.803,53.249,285
"PakDasht",35.485,51.687,347
"Pishva",35.307,51.722,347
"PolroodDam",36.974,50.284,538
"Poul",36.401,51.586,558
"Qazvin2",36.24,50.05,298
"Ramsar",36.906,50.662,404
"Rasht3",37.195,49.637,298
"Rasht4",37.184,49.662,298
"Roodsar",37.141,50.283,266
"SaeidAbad",35.666,51.188,347
"SaeinGhale",36.312,49.073,371
"Sari1",36.46,53.049,396
"SefidroodDam2",36.763,49.393,379
"Seyedkola",36.317,52.781,427
"ShahZeyd",36.21,52.344,558
"ShahidRajaeiDam3",36.251,53.229,404
"Shahriyar",35.681,51.042,347
"Siyahkal",37.158,49.874,347
"Soltanyeh",36.438,48.799,318
"Takestan",36.069,49.702,298
"Taleqan",36.179,50.764,404
"TaleqanDam",36.181,50.635,471
"Tehran1",35.592,51.427,347
"Tehran10",35.762,51.407,423
"Tehran11",35.761,51.407,564
"Tehran12B",35.827,51.466,564
"Tehran13",35.647,51.397,298
"Tehran14",35.726,51.397,492
"Tehran17",35.669,51.506,347
"Tehran18",35.741,51.367,492
"Tehran2",35.726,51.398,492
"Tehran22",35.739,51.385,492
"Tehran23",35.741,51.363,492
"Tehran27",35.735,51.663,470
"Tehran29",35.684,51.415,347
"Tehran3",35.877,51.338,539
"Tehran33",35.791,51.39,423
"Tehran35",35.704,51.412,347
"Tehran38",35.591,51.493,584
"Tehran52",35.739,51.576,423
"Tehran53B",35.498,51.365,296
"Tehran56",35.722,51.266,347
"Tehran9",35.745,51.372,423
"Vahidiyeh",35.608,51.019,298
"Varish",35.829,51.173,539
"Vireh",35.601,51.089,331
"Zanjan1",36.664,48.504,371
"Zanjan2",36.682,48.491,371
"Zibashahr",36.22,50.18,347
"JiroftDam2",28.86,57.466,434
"QotbAbad",28.883,58.483,287
"Abarsej",36.581,54.919,564
"Minoodasht",37.229,55.365,346
"Minoodasht",37.229,55.364,347
"Mojen",36.477,54.654,564
"Qapan-e-Olya",37.621,55.678,378
"KhajeAsgar",29.119,58.263,371
"PoshtRood",29.123,58.381,367
"PoshtRood2",29.123,58.382,367
"BostanAbad",37.846,46.837,345
"Sharabiyan",37.887,47.101,371
"Tikmedash",37.731,46.953,488
"Anar",30.866,55.271,279
"Bafgh",31.629,55.421,285
"Bahabad",31.872,56.015,287
"Bahadoran",31.327,54.914,318
"Bayaz",30.701,55.446,325
"Dasht-e-Khak",31.066,56.555,393
"Davaran",30.582,56.189,452
"Hineman",30.529,57.289,431
"Koohbanan",31.421,56.276,452
"MoleaEsmaeel",32.037,55.952,246
"NayBand",32.381,57.828,356
"Pariz",29.87,55.746,564
"Rafsanjan",30.411,55.993,246
"SaadatAbad",29.648,55.822,371
"ShahreBabak",30.107,55.124,371
"ShirinroodDam1",30.811,57.031,507
"Tarz",31.398,56.498,431
"BahaAbad",30.747,56.625,246
"Khanook",30.717,56.776,452
"Hotkan",30.848,56.788,557
"EslamAbad",30.738,56.727,452
"Gisk",30.884,56.591,452
"Govarnagan",26.629,61.524,396
"Saravan",27.373,62.324,298
"SibSooran",27.286,61.998,318
"Azodiyeh",33.827,49.392,368
